PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Prediction
815,0,3,30.5,0,0,8.05,0
759,0,3,34.0,0,0,8.05,0
727,1,2,30.0,3,0,21.0,0
792,0,2,16.0,0,0,26.0,1
846,0,3,42.0,0,0,7.55,0
272,1,3,25.0,0,0,0.0,0
327,0,3,61.0,0,0,6.2375,0
191,1,2,32.0,0,0,13.0,0
139,0,3,16.0,0,0,9.2167,0
834,0,3,23.0,0,0,7.8542,0
262,1,3,3.0,4,2,31.3875,0
844,0,3,34.5,0,0,6.4375,0
404,0,3,28.0,1,0,15.85,0
121,0,2,21.0,2,0,73.5,0
306,1,1,0.92,1,2,151.55,1
346,1,2,24.0,0,0,13.0,0
723,0,2,34.0,0,0,13.0,0
582,1,1,39.0,1,1,110.8833,1
178,0,1,50.0,0,0,28.7125,1
419,0,2,30.0,0,0,13.0,0
418,1,2,18.0,0,2,13.0,1
430,1,3,32.0,0,0,8.05,0
578,1,1,39.0,1,0,55.9,1
193,1,3,19.0,1,0,7.8542,0
782,1,1,17.0,1,0,57.0,1
862,0,2,21.0,1,0,11.5,0
789,1,3,1.0,1,2,20.575,0
7,0,1,54.0,0,0,51.8625,1
393,0,3,28.0,2,0,7.925,0
175,0,1,56.0,0,0,30.6958,0
388,1,2,36.0,0,0,13.0,0
586,1,1,18.0,0,2,79.65,1
803,1,1,11.0,1,2,120.0,1
212,1,2,35.0,0,0,21.0,0
633,1,1,32.0,0,0,30.5,1
427,1,2,28.0,1,0,26.0,0
189,0,3,40.0,1,1,15.5,0
303,0,3,19.0,0,0,0.0,0
125,0,1,54.0,0,1,77.2875,1
493,0,1,55.0,0,0,30.5,0
540,1,1,22.0,0,2,49.5,1
316,1,3,26.0,0,0,7.8542,0
35,0,1,28.0,1,0,82.1708,1
326,1,1,36.0,0,0,135.6333,1
851,0,3,4.0,4,2,31.275,0
310,1,1,30.0,0,0,56.9292,1
787,1,3,18.0,0,0,7.4958,0
86,1,3,33.0,3,0,15.85,0
194,1,2,3.0,1,1,26.0,1
195,1,1,44.0,0,0,27.7208,1
226,0,3,22.0,0,0,9.35,0
295,0,3,24.0,0,0,7.8958,0
581,1,2,25.0,1,1,30.0,0
617,0,3,34.0,1,1,14.4,0
743,1,1,21.0,2,2,262.375,1
632,0,3,51.0,0,0,7.0542,0
768,0,3,30.5,0,0,7.75,0
871,0,3,26.0,0,0,7.8958,0
488,0,1,58.0,0,0,29.7,0
685,0,2,60.0,1,1,39.0,0
180,0,3,36.0,0,0,0.0,0
526,0,3,40.5,0,0,7.75,0
720,0,3,33.0,0,0,7.775,0
537,0,1,45.0,0,0,26.55,1
219,1,1,32.0,0,0,76.2917,1
593,0,3,47.0,0,0,7.25,0
286,0,3,33.0,0,0,8.6625,0
703,0,3,18.0,0,1,14.4542,0
729,0,2,25.0,1,0,26.0,0
530,0,2,23.0,2,1,11.5,0
560,1,3,36.0,1,0,17.4,0
676,0,3,18.0,0,0,7.775,0
839,1,3,32.0,0,0,56.4958,0
144,0,3,19.0,0,0,6.75,0
837,0,3,21.0,0,0,8.6625,0
828,1,2,1.0,0,2,37.0042,1
281,0,3,65.0,0,0,7.75,0
457,0,1,65.0,0,0,26.55,0
192,0,2,19.0,0,0,13.0,1
604,0,3,44.0,0,0,8.05,0
95,0,3,59.0,0,0,7.25,0
